Created result directory '/tmp/benchmarks/20260405T1416-gnr-hft/wult/short'
Created statistics result directory '/tmp/benchmarks/20260405T1416-gnr-hft/wult/short/stats'
No statistics will be collected
wult: notice: C-state prewake is enabled, and this usually hides the real latency when using 'tdt' as delayed event device
Using 'tdt' (TSC deadline timer)
Setting min. launch distance to 1 ns
Stopped the 'systemd-timesyncd' NTP service
Start measuring CPU 1, collecting 1000000 datapoints, time limit is 5h
Calculating TSC rate for 10s
TSC rate is 1899.960392 MHz

Datapoints: 172896, max. latency: 265.88 us, rate: 486.43 datapoints/sec
Datapoints: 173376, max. latency: 265.88 us, rate: 486.41 datapoints/sec
Datapoints: 173888, max. latency: 265.88 us, rate: 486.40 datapoints/sec
Datapoints: 174432, max. latency: 265.88 us, rate: 486.51 datapoints/sec
Datapoints: 174944, max. latency: 265.88 us, rate: 486.55 datapoints/sec
Datapoints: 175456, max. latency: 265.88 us, rate: 486.55 datapoints/sec
Datapoints: 175936, max. latency: 265.88 us, rate: 486.52 datapoints/sec
Datapoints: 176448, max. latency: 265.88 us, rate: 486.53 datapoints/sec
Datapoints: 176960, max. latency: 265.88 us, rate: 486.52 datapoints/sec
Datapoints: 177471, max. latency: 265.88 us, rate: 486.51 datapoints/sec
Datapoints: 177983, max. latency: 265.88 us, rate: 486.51 datapoints/sec
Datapoints: 178495, max. latency: 265.88 us, rate: 486.56 datapoints/sec
Datapoints: 179007, max. latency: 265.88 us, rate: 486.56 datapoints/sec
Datapoints: 179519, max. latency: 265.88 us, rate: 486.57 datapoints/sec
Datapoints: 180031, max. latency: 265.88 us, rate: 486.56 datapoints/sec
Datapoints: 180511, max. latency: 265.88 us, rate: 486.53 datapoints/sec
Datapoints: 181023, max. latency: 265.88 us, rate: 486.52 datapoints/sec
Datapoints: 181535, max. latency: 265.88 us, rate: 486.56 datapoints/sec
Datapoints: 182047, max. latency: 265.88 us, rate: 486.58 datapoints/sec
Datapoints: 182527, max. latency: 265.88 us, rate: 486.53 datapoints/sec
Datapoints: 183039, max. latency: 265.88 us, rate: 486.56 datapoints/sec
Datapoints: 183519, max. latency: 265.88 us, rate: 486.53 datapoints/sec
Datapoints: 184031, max. latency: 265.88 us, rate: 486.57 datapoints/sec
Datapoints: 184543, max. latency: 265.88 us, rate: 486.57 datapoints/sec
Datapoints: 185087, max. latency: 265.88 us, rate: 486.66 datapoints/sec
Datapoints: 185599, max. latency: 265.88 us, rate: 486.69 datapoints/sec
Datapoints: 186111, max. latency: 265.88 us, rate: 486.71 datapoints/sec
Datapoints: 186623, max. latency: 265.88 us, rate: 486.76 datapoints/sec
Datapoints: 187103, max. latency: 265.88 us, rate: 486.73 datapoints/sec
Datapoints: 187615, max. latency: 265.88 us, rate: 486.75 datapoints/sec
Datapoints: 188127, max. latency: 265.88 us, rate: 486.75 datapoints/sec
Datapoints: 188639, max. latency: 265.88 us, rate: 486.80 datapoints/sec
Datapoints: 189150, max. latency: 265.88 us, rate: 486.80 datapoints/sec
Datapoints: 189662, max. latency: 265.88 us, rate: 486.83 datapoints/sec
Datapoints: 190174, max. latency: 265.88 us, rate: 486.84 datapoints/sec
Datapoints: 190686, max. latency: 265.88 us, rate: 486.88 datapoints/sec
Datapoints: 191198, max. latency: 265.88 us, rate: 486.93 datapoints/sec
Datapoints: 191678, max. latency: 265.88 us, rate: 486.87 datapoints/sec
Datapoints: 192158, max. latency: 265.88 us, rate: 486.81 datapoints/sec
Datapoints: 192638, max. latency: 265.88 us, rate: 486.75 datapoints/sec
Datapoints: 193150, max. latency: 265.88 us, rate: 486.73 datapoints/sec
Datapoints: 193662, max. latency: 265.88 us, rate: 486.72 datapoints/sec
Datapoints: 194169, max. latency: 265.88 us, rate: 486.77 datapoints/sec
Datapoints: 194654, max. latency: 265.88 us, rate: 486.73 datapoints/sec
Datapoints: 195166, max. latency: 265.88 us, rate: 486.77 datapoints/sec
Datapoints: 195678, max. latency: 265.88 us, rate: 486.77 datapoints/sec
Datapoints: 196190, max. latency: 265.88 us, rate: 486.79 datapoints/sec
Datapoints: 196702, max. latency: 265.88 us, rate: 486.79 datapoints/sec
Datapoints: 197214, max. latency: 265.88 us, rate: 486.81 datapoints/sec
Datapoints: 197726, max. latency: 265.88 us, rate: 486.82 datapoints/sec
Datapoints: 198206, max. latency: 265.88 us, rate: 486.79 datapoints/sec
Datapoints: 198718, max. latency: 265.88 us, rate: 486.78 datapoints/sec
Datapoints: 199230, max. latency: 265.88 us, rate: 486.76 datapoints/sec
Datapoints: 199742, max. latency: 265.88 us, rate: 486.78 datapoints/sec
Datapoints: 200254, max. latency: 265.88 us, rate: 486.79 datapoints/sec
Datapoints: 200766, max. latency: 265.88 us, rate: 486.81 datapoints/sec
Datapoints: 201278, max. latency: 265.88 us, rate: 486.87 datapoints/sec
Datapoints: 201790, max. latency: 265.88 us, rate: 486.87 datapoints/sec
Datapoints: 202270, max. latency: 265.88 us, rate: 486.85 datapoints/sec
Datapoints: 202782, max. latency: 265.88 us, rate: 486.85 datapoints/sec
Datapoints: 203294, max. latency: 265.88 us, rate: 486.88 datapoints/sec
Datapoints: 203806, max. latency: 265.88 us, rate: 486.91 datapoints/sec
