Created result directory '/tmp/benchmarks/20260405T1416-gnr-hft/wult/short'
Created statistics result directory '/tmp/benchmarks/20260405T1416-gnr-hft/wult/short/stats'
No statistics will be collected
wult: notice: C-state prewake is enabled, and this usually hides the real latency when using 'tdt' as delayed event device
Using 'tdt' (TSC deadline timer)
Setting min. launch distance to 1 ns
Stopped the 'systemd-timesyncd' NTP service
Start measuring CPU 1, collecting 1000000 datapoints, time limit is 5h
Calculating TSC rate for 10s
TSC rate is 1899.960392 MHz

Datapoints: 44570, max. latency: 235.39 us, rate: 486.27 datapoints/sec
Datapoints: 45082, max. latency: 235.39 us, rate: 486.33 datapoints/sec
Datapoints: 45626, max. latency: 235.39 us, rate: 486.70 datapoints/sec
Datapoints: 46138, max. latency: 235.39 us, rate: 486.70 datapoints/sec
Datapoints: 46618, max. latency: 235.39 us, rate: 486.51 datapoints/sec
Datapoints: 47130, max. latency: 235.39 us, rate: 486.46 datapoints/sec
Datapoints: 47642, max. latency: 235.39 us, rate: 486.64 datapoints/sec
Datapoints: 48154, max. latency: 235.39 us, rate: 486.65 datapoints/sec
Datapoints: 48633, max. latency: 235.39 us, rate: 486.50 datapoints/sec
Datapoints: 49145, max. latency: 235.39 us, rate: 486.67 datapoints/sec
Datapoints: 49657, max. latency: 235.39 us, rate: 486.61 datapoints/sec
Datapoints: 50169, max. latency: 235.39 us, rate: 486.63 datapoints/sec
Datapoints: 50681, max. latency: 235.39 us, rate: 486.80 datapoints/sec
Datapoints: 51161, max. latency: 235.39 us, rate: 486.71 datapoints/sec
Datapoints: 51673, max. latency: 235.39 us, rate: 486.77 datapoints/sec
Datapoints: 52185, max. latency: 235.39 us, rate: 486.88 datapoints/sec
Datapoints: 52665, max. latency: 235.39 us, rate: 486.68 datapoints/sec
Datapoints: 53177, max. latency: 238.15 us, rate: 486.82 datapoints/sec
Datapoints: 53689, max. latency: 238.15 us, rate: 486.95 datapoints/sec
Datapoints: 54201, max. latency: 240.40 us, rate: 486.98 datapoints/sec
Datapoints: 54713, max. latency: 240.40 us, rate: 487.18 datapoints/sec
Datapoints: 55193, max. latency: 240.40 us, rate: 487.09 datapoints/sec
Datapoints: 55705, max. latency: 240.40 us, rate: 487.19 datapoints/sec
Datapoints: 56185, max. latency: 240.40 us, rate: 487.04 datapoints/sec
Datapoints: 56697, max. latency: 240.40 us, rate: 487.12 datapoints/sec
Datapoints: 57209, max. latency: 240.40 us, rate: 487.14 datapoints/sec
Datapoints: 57721, max. latency: 240.40 us, rate: 487.20 datapoints/sec
Datapoints: 58232, max. latency: 240.40 us, rate: 487.15 datapoints/sec
Datapoints: 58744, max. latency: 240.40 us, rate: 487.22 datapoints/sec
Datapoints: 59256, max. latency: 240.40 us, rate: 487.28 datapoints/sec
Datapoints: 59768, max. latency: 240.40 us, rate: 487.33 datapoints/sec
Datapoints: 60248, max. latency: 240.40 us, rate: 487.22 datapoints/sec
Datapoints: 60760, max. latency: 240.40 us, rate: 487.34 datapoints/sec
Datapoints: 61240, max. latency: 240.40 us, rate: 487.19 datapoints/sec
Datapoints: 61752, max. latency: 240.40 us, rate: 487.24 datapoints/sec
Datapoints: 62232, max. latency: 240.40 us, rate: 487.16 datapoints/sec
Datapoints: 62744, max. latency: 240.40 us, rate: 487.09 datapoints/sec
Datapoints: 63224, max. latency: 240.40 us, rate: 487.01 datapoints/sec
Datapoints: 63714, max. latency: 240.40 us, rate: 487.03 datapoints/sec
Datapoints: 64216, max. latency: 240.40 us, rate: 486.93 datapoints/sec
Datapoints: 64728, max. latency: 240.40 us, rate: 486.94 datapoints/sec
Datapoints: 65240, max. latency: 240.40 us, rate: 486.97 datapoints/sec
Datapoints: 65752, max. latency: 240.40 us, rate: 487.10 datapoints/sec
Datapoints: 66232, max. latency: 240.40 us, rate: 487.04 datapoints/sec
Datapoints: 66712, max. latency: 240.40 us, rate: 486.92 datapoints/sec
Datapoints: 67224, max. latency: 240.40 us, rate: 486.88 datapoints/sec
Datapoints: 67768, max. latency: 240.40 us, rate: 487.08 datapoints/sec
Datapoints: 68280, max. latency: 240.40 us, rate: 487.16 datapoints/sec
Datapoints: 68792, max. latency: 240.40 us, rate: 487.25 datapoints/sec
Datapoints: 69304, max. latency: 240.40 us, rate: 487.37 datapoints/sec
Datapoints: 69816, max. latency: 240.40 us, rate: 487.47 datapoints/sec
Datapoints: 70360, max. latency: 240.40 us, rate: 487.63 datapoints/sec
Datapoints: 70872, max. latency: 240.40 us, rate: 487.65 datapoints/sec
Datapoints: 71384, max. latency: 240.40 us, rate: 487.67 datapoints/sec
Datapoints: 71896, max. latency: 240.40 us, rate: 487.66 datapoints/sec
Datapoints: 72408, max. latency: 240.40 us, rate: 487.76 datapoints/sec
Datapoints: 72888, max. latency: 240.40 us, rate: 487.68 datapoints/sec
Datapoints: 73368, max. latency: 240.40 us, rate: 487.61 datapoints/sec
Datapoints: 73880, max. latency: 240.40 us, rate: 487.69 datapoints/sec
Datapoints: 74392, max. latency: 240.40 us, rate: 487.79 datapoints/sec
Datapoints: 74872, max. latency: 240.40 us, rate: 487.72 datapoints/sec
Datapoints: 75352, max. latency: 240.40 us, rate: 487.58 datapoints/sec
Datapoints: 75832, max. latency: 240.40 us, rate: 487.53 datapoints/sec
Datapoints: 76344, max. latency: 240.40 us, rate: 487.60 datapoints/sec
Datapoints: 76824, max. latency: 240.40 us, rate: 487.42 datapoints/sec
Datapoints: 77336, max. latency: 240.40 us, rate: 487.43 datapoints/sec
Datapoints: 77848, max. latency: 240.40 us, rate: 487.48 datapoints/sec
Datapoints: 78328, max. latency: 240.40 us, rate: 487.33 datapoints/sec
Datapoints: 78808, max. latency: 240.40 us, rate: 487.23 datapoints/sec
Datapoints: 79288, max. latency: 240.40 us, rate: 487.10 datapoints/sec
Datapoints: 79800, max. latency: 240.40 us, rate: 487.05 datapoints/sec
Datapoints: 80312, max. latency: 240.40 us, rate: 487.03 datapoints/sec
Datapoints: 80824, max. latency: 240.40 us, rate: 487.16 datapoints/sec
Datapoints: 81336, max. latency: 240.40 us, rate: 487.17 datapoints/sec
Datapoints: 81815, max. latency: 240.40 us, rate: 487.10 datapoints/sec
Datapoints: 82327, max. latency: 240.40 us, rate: 487.08 datapoints/sec
Datapoints: 82807, max. latency: 240.40 us, rate: 486.99 datapoints/sec
Datapoints: 83318, max. latency: 240.40 us, rate: 487.02 datapoints/sec
Datapoints: 83797, max. latency: 240.40 us, rate: 486.94 datapoints/sec
Datapoints: 84309, max. latency: 240.40 us, rate: 486.99 datapoints/sec
Datapoints: 84789, max. latency: 240.40 us, rate: 486.87 datapoints/sec
Datapoints: 85301, max. latency: 240.40 us, rate: 486.88 datapoints/sec
Datapoints: 85781, max. latency: 240.40 us, rate: 486.83 datapoints/sec
Datapoints: 86260, max. latency: 240.40 us, rate: 486.76 datapoints/sec
Datapoints: 86756, max. latency: 240.40 us, rate: 486.81 datapoints/sec
Datapoints: 87220, max. latency: 240.40 us, rate: 486.58 datapoints/sec
Datapoints: 87732, max. latency: 240.40 us, rate: 486.57 datapoints/sec
Datapoints: 88212, max. latency: 240.40 us, rate: 486.48 datapoints/sec
Datapoints: 88692, max. latency: 240.40 us, rate: 486.42 datapoints/sec
Datapoints: 89204, max. latency: 240.40 us, rate: 486.47 datapoints/sec
Datapoints: 89684, max. latency: 240.40 us, rate: 486.42 datapoints/sec
Datapoints: 90196, max. latency: 240.40 us, rate: 486.48 datapoints/sec
Datapoints: 90708, max. latency: 240.40 us, rate: 486.57 datapoints/sec
Datapoints: 91220, max. latency: 240.40 us, rate: 486.59 datapoints/sec
Datapoints: 91732, max. latency: 240.40 us, rate: 486.60 datapoints/sec
Datapoints: 92212, max. latency: 240.40 us, rate: 486.54 datapoints/sec
Datapoints: 92723, max. latency: 257.03 us, rate: 486.58 datapoints/sec
Datapoints: 93235, max. latency: 257.03 us, rate: 486.62 datapoints/sec
Datapoints: 93747, max. latency: 257.03 us, rate: 486.63 datapoints/sec
Datapoints: 94227, max. latency: 257.03 us, rate: 486.59 datapoints/sec
Datapoints: 94707, max. latency: 257.03 us, rate: 486.52 datapoints/sec
Datapoints: 95219, max. latency: 257.03 us, rate: 486.64 datapoints/sec
Datapoints: 95699, max. latency: 257.03 us, rate: 486.58 datapoints/sec
Datapoints: 96179, max. latency: 257.03 us, rate: 486.51 datapoints/sec
Datapoints: 96691, max. latency: 257.03 us, rate: 486.56 datapoints/sec
Datapoints: 97203, max. latency: 257.03 us, rate: 486.69 datapoints/sec
Datapoints: 97715, max. latency: 257.03 us, rate: 486.74 datapoints/sec
Datapoints: 98227, max. latency: 257.03 us, rate: 486.79 datapoints/sec
Datapoints: 98739, max. latency: 257.03 us, rate: 486.81 datapoints/sec
Datapoints: 99251, max. latency: 257.03 us, rate: 486.79 datapoints/sec
Datapoints: 99764, max. latency: 257.03 us, rate: 486.92 datapoints/sec
Datapoints: 100307, max. latency: 257.03 us, rate: 487.06 datapoints/sec
Datapoints: 100787, max. latency: 257.03 us, rate: 486.95 datapoints/sec
Datapoints: 101299, max. latency: 257.03 us, rate: 486.94 datapoints/sec
Datapoints: 101779, max. latency: 257.03 us, rate: 486.90 datapoints/sec
Datapoints: 102291, max. latency: 257.03 us, rate: 486.93 datapoints/sec
Datapoints: 102771, max. latency: 257.03 us, rate: 486.86 datapoints/sec
Datapoints: 103283, max. latency: 257.03 us, rate: 486.86 datapoints/sec
Datapoints: 103795, max. latency: 257.03 us, rate: 486.83 datapoints/sec
Datapoints: 104307, max. latency: 257.03 us, rate: 486.83 datapoints/sec
Datapoints: 104819, max. latency: 257.03 us, rate: 486.90 datapoints/sec
Datapoints: 105331, max. latency: 257.03 us, rate: 486.87 datapoints/sec
Datapoints: 105811, max. latency: 257.03 us, rate: 486.82 datapoints/sec
Datapoints: 106323, max. latency: 257.03 us, rate: 486.87 datapoints/sec
Datapoints: 106835, max. latency: 257.03 us, rate: 486.89 datapoints/sec
Datapoints: 107347, max. latency: 257.03 us, rate: 486.89 datapoints/sec
Datapoints: 107827, max. latency: 257.03 us, rate: 486.85 datapoints/sec
Datapoints: 108307, max. latency: 257.03 us, rate: 486.81 datapoints/sec
Datapoints: 108787, max. latency: 257.03 us, rate: 486.73 datapoints/sec
Datapoints: 109299, max. latency: 257.03 us, rate: 486.77 datapoints/sec
Datapoints: 109811, max. latency: 257.03 us, rate: 486.79 datapoints/sec
Datapoints: 110323, max. latency: 257.03 us, rate: 486.81 datapoints/sec
Datapoints: 110803, max. latency: 257.03 us, rate: 486.78 datapoints/sec
Datapoints: 111315, max. latency: 257.03 us, rate: 486.76 datapoints/sec
Datapoints: 111824, max. latency: 257.03 us, rate: 486.74 datapoints/sec
Datapoints: 112304, max. latency: 257.03 us, rate: 486.69 datapoints/sec
Datapoints: 112816, max. latency: 257.03 us, rate: 486.76 datapoints/sec
Datapoints: 113296, max. latency: 257.03 us, rate: 486.66 datapoints/sec
Datapoints: 113776, max. latency: 257.03 us, rate: 486.57 datapoints/sec
